Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,2.2566,2.2916,2.0904,2.1254,36540062,0,S,-0.05603642709977994,69.76075838636208,1.081014991907628,0.10145965468552154,0.00880296614412375,381565002.0,2.0711491118498238,0.3181055826372201,0.2074357142857144
2009-02-02,2.0992,2.1516,2.0205,2.1079,22887429,0,S,-0.008267828732745763,68.94768589856244,1.083212555179464,0.09305167382738233,0.0003159882287876309,358677573.0,2.071633592210332,0.26842546107723075,0.20055714285714293
2009-02-03,2.1167,2.2216,2.0729,2.2129,33039829,0,S,0.04861168129597126,71.1224602235929,1.0869324776992835,0.09377987487781603,0.0008353514233770537,391717402.0,2.074613452684251,0.248224446229127,0.1986785714285715
2009-02-04,2.2216,2.3178,2.0554,2.0992,33608291,0,S,-0.05274755275205028,65.75230250201253,1.0886035956497078,0.08421160077342327,-0.006986338144812573,358109111.0,2.077111579501373,0.2452400432065472,0.20367857142857146
2009-02-05,2.0992,2.1429,1.9417,2.0292,38429469,0,S,-0.033914693057235074,62.61758201649664,1.0890351878119762,0.07017136777683719,-0.01682125691311892,319679642.0,2.0758058673650392,0.24784781535831013,0.2055571428571429
2009-02-06,2.0292,2.1691,2.0292,2.1604,33941534,0,S,0.06265176302620123,65.8990957781176,1.0914852026356516,0.06883760838889241,-0.014524013040850964,353621176.0,2.077057150790673,0.24099263957658104,0.20305714285714288
2009-02-09,2.1604,2.2041,2.0992,2.1429,35259957,0,S,-0.008133337889699619,65.07849254766137,1.0934866131170438,0.0656121546417685,-0.014199573430379905,318361219.0,2.079124829505289,0.23175964271460825,0.1943
2009-02-10,2.1079,2.1866,1.8543,1.9067,58283093,0,S,-0.11678605275863747,55.10453264146559,1.091612302057281,0.043495207635996014,-0.029053216348921926,260078126.0,2.0747286263671727,0.246343539448211,0.20428571428571432
2009-02-11,2.0117,2.0992,1.8543,2.0554,48389849,0,S,0.07509647712057371,59.33039939912174,1.09214131422237,0.037533551632773055,-0.028011897881715916,308467975.0,2.0721156450606197,0.24464491032213848,0.20553571428571432
2009-02-12,2.0117,2.2216,2.0117,2.1866,58823154,0,S,0.061877349809411675,62.66918353332353,1.0946668706257006,0.04290110260879132,-0.018115477524558124,367291129.0,2.0749916044980496,0.24315625777101701,0.19428571428571434
2009-02-13,2.1779,2.484,2.1779,2.4665,55851220,0,S,0.12045231567340857,68.59296603654715,1.101396413060382,0.06894575248904777,0.006343337884558667,423142349.0,2.0866421449395585,0.28375518641090003,0.20177857142857145
2009-02-17,2.2304,2.5365,2.1954,2.414,65659787,0,S,-0.021515019016315983,66.46261995557055,1.1068812802288723,0.08437736419022812,0.01741995966859121,357482562.0,2.09948982708081,0.29448270768212503,0.2155214285714286
2009-02-18,2.5103,2.5802,2.1954,2.3703,65995386,0,S,-0.018268593260679703,64.66238530378445,1.1113326165863366,0.09202005296818738,0.020050118757240373,291487176.0,2.1113239407617144,0.26557375743748063,0.22551428571428575
2009-02-19,2.6677,3.0525,2.6415,2.8426,178895018,0,S,0.18170259690811424,73.13266041559895,1.1227438897527011,0.1346356062504266,0.05013253763158365,470382194.0,2.1861999407712625,0.3627434623836566,0.2636214285714286
2009-02-20,2.7027,2.8164,2.6065,2.8164,88609244,0,S,-0.00925965265993336,72.10022021739873,1.1330069706381445,0.16439952285331616,0.06391716338757858,381772950.0,2.2131382931338943,0.42494415177311595,0.2661142857142857
2009-02-23,2.9388,3.0438,2.8339,2.8951,74213788,0,S,0.02756017907988056,73.31870084746453,1.143772021970699,0.1921233945752001,0.07331282808757002,455986738.0,2.240668440323937,0.48564754601221855,0.27299285714285715
2009-02-24,2.9388,3.1488,2.8864,3.1313,85716308,0,S,0.07842860104470038,76.61911635653296,1.157327032669128,0.23049710154163128,0.08934922804320095,541703046.0,2.275543100765236,0.5724279432907101,0.28111428571428576
2009-02-25,3.0438,3.1837,2.9476,3.14,67846963,0,S,0.002774546132740059,76.73327817742344,1.1700717905413813,0.258629241170127,0.09398509413735731,609550009.0,2.3022448187031497,0.6298091728579379,0.27923571428571436
2009-02-26,3.175,3.3149,3.0176,3.0438,56226934,0,S,-0.031116065101599772,72.51689868988103,1.1805222087667082,0.27004867545262234,0.08432362273588212,553323075.0,2.324007744768926,0.6663228210212588,0.28610000000000013
2009-02-27,2.9651,3.0438,2.6939,2.8776,92192231,0,S,-0.05615012141928509,65.79082104432311,1.187830125823736,0.2626599282328952,0.06154790041292396,461130844.0,2.346765437367603,0.674626012465753,0.3011000000000001
2009-03-02,2.7727,2.9738,2.6589,2.7464,39130129,0,S,-0.04666565023793195,60.98227504033678,1.1927173059121978,0.2434116513145006,0.033839698795623485,422000715.0,2.3544986450476126,0.6622472669495336,0.3161000000000001
2009-03-03,2.8251,3.0438,2.7989,2.8689,93485745,0,S,0.04363771788012444,63.653428602279234,1.1989641351225433,0.2353292502950799,0.020605838220962208,515486460.0,2.376338212462634,0.6502530034191466,0.31360714285714303
2009-03-04,2.9563,3.14,2.8951,2.9038,80667314,0,S,0.012091543025980624,64.40116196243355,1.2052253479633062,0.2290991155898916,0.01150056281261913,596153774.0,2.396346727715272,0.6443400452745147,0.31547857142857155
2009-03-05,2.8426,2.8776,2.6152,2.6852,39394323,0,S,-0.07826501098499085,56.55331082504634,1.2079270258814874,0.20416896315032984,-0.010743671701554103,556759451.0,2.4016008574524244,0.6161234350693111,0.32110000000000005
2009-03-06,2.7377,2.8251,2.4665,2.6589,36820051,0,S,-0.009842709652134494,55.674284319838776,1.2099961489281104,0.18021207490679458,-0.027760447956071493,519939400.0,2.4052493514458595,0.5752077979702973,0.3248500000000001
